title,author,filename,url
Analysis of the Recent Sudanese Industrial Policy in the New Structural Economics Framework: The Way towards Economic Transformation,Yagoub Elryah,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2946117
Ancient Egypt and Nubia,James Weldon Johnson,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/ancient-egypt-and-nubia.epub
Ancient Egypt and Nubia: Cultural Connections,Mansur Hasib,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/ancient-egypt-and-nubia-cultural-connections.epub
Ancient Nubia,Oriental Institute Museum (University of Chicago),,https://isac.uchicago.edu/sites/default/files/uploads/shared/docs/ancient_nubia_gallery.pdf
Ancient Nubia and Kush,Carmine Gallo,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/ancient-nubia-and-kush.epub
Anglo-Egyptian Sudan,Beatrice Shorts,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/anglo-egyptian-sudan.epub
Applying Ibn Khaldun: The Recovery of a Lost Tradition in Sociology,Alatas,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/applying-ibn-khaldun-the-recovery-of-a-lost-tradition-in-soc.epub
Appraisal of the Development Program of the Sudan Railway,World Bank,appraisal-of-the-development-pr-world-bank.pdf,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/appraisal-of-the-development-pr-world-bank.pdf
Appraisal of Trade Potency on Economic Growth in Sudan: New Empirical and Policy Analysis,Sayef Bakari,,https://www.academia.edu/94911921/Appraisal_of_Trade_Potency_on_Economic_Growth_in_Sudan_New_Empirical_and_Policy_Analysis
"Arab Food, Water and the Big Gulf Landgrab that Wasn't",Claire Watson Garcia,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/arab-food-water-and-the-big-gulf-landgrab-that-wasn-t.epub
Archaeological and Architectural Evidence of Social Change in 13th–17th Century Dongola,Włodzimierz Godlewski,archaeological-and-architectura-wlodzimierz-godlewski.pdf,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/archaeological-and-architectura-wlodzimierz-godlewski.pdf
Archaeology at Al Khiday: New Insights on Sudan's Ancient Past,Rémy Lentzner,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/archaeology-at-al-khiday-new-insights-on-sudan-s-ancient-pas.epub
Archaeology of Sudan and Nubia,David N. Edwards,,https://www.routledge.com/9780415298995
Architecture and Planning under Different Political Systems,IADPSR,,https://arcpeaceinternational.org/wp-content/uploads/2019/04/Architecture_and_planning_under_different_political_systems.pdf
Architecture in Sudan 1900-2014: An Endeavor Against the Odds,Lee J. Ames,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/architecture-in-sudan-1900-2014-an-endeavor-against-the-odds.epub
